,bus_Stations,Routes_Bus,Rail_Stations,Routes_Rail
0725,20.0,1.15,1.0,1.0
0726,18.0,1.11111111111,,
0731,33.0,1.09090909091,1.0,1.0
0732,21.0,1.0,,
0733,23.0,1.08695652174,,
0734,20.0,1.1,,
0735,32.0,1.40625,,
0811,70.0,1.52857142857,,
0812,71.0,1.0,,
0813,97.0,1.29896907216,1.0,1.0
0814,34.0,1.91176470588,,
0815,73.0,1.17808219178,1.0,1.0
0821,63.0,1.09523809524,1.0,1.0
0822,48.0,1.1875,,
0823,46.0,1.15217391304,,
0824,47.0,1.14893617021,,
0825,24.0,1.08333333333,,
0831,42.0,1.16666666667,,
0832,18.0,2.0,,
0833,52.0,1.19230769231,,
0834,67.0,1.08955223881,,
0835,57.0,1.0701754386,,
0911,65.0,1.24615384615,,
0912,68.0,1.16176470588,1.0,1.0
0913,50.0,1.12,2.0,1.0
0914,61.0,1.13114754098,1.0,1.0
0915,60.0,1.13333333333,1.0,1.0
0921,31.0,1.06451612903,,
0922,40.0,1.425,1.0,1.0
0923,45.0,1.37777777778,,
0924,30.0,1.23333333333,,
0925,61.0,1.39344262295,1.0,1.0
0931,25.0,1.24,,
0932,29.0,1.03448275862,,
0933,31.0,1.09677419355,,
0934,34.0,1.02941176471,,
0935,36.0,1.27777777778,1.0,1.0
1011,19.0,1.0,,
1012,24.0,1.04166666667,1.0,1.0
1013,36.0,1.02777777778,,
1014,20.0,1.0,1.0,1.0
1021,19.0,1.0,,
1022,44.0,1.02272727273,1.0,1.0
1023,38.0,1.18421052632,1.0,1.0
1024,21.0,1.0,1.0,1.0
1031,48.0,1.20833333333,,
1032,25.0,1.16,,
1033,30.0,1.06666666667,,
1034,66.0,1.06060606061,,
1111,37.0,1.05405405405,,
1112,16.0,1.0625,,
1113,20.0,1.0,1.0,1.0
1114,4.0,1.0,,
1115,16.0,1.0,,
1121,41.0,1.0,,
1122,17.0,1.0,1.0,1.0
1123,28.0,1.0,1.0,1.0
1124,27.0,1.0,,
1125,17.0,1.11764705882,,
1131,30.0,1.0,,
1132,27.0,1.0,1.0,1.0
1133,25.0,1.12,,
1134,39.0,1.0,1.0,1.0
1135,32.0,1.0625,1.0,1.0
1211,26.0,1.15384615385,,
1212,29.0,1.06896551724,,
1213,30.0,1.06666666667,1.0,1.0
1214,39.0,1.07692307692,2.0,1.5
1215,24.0,1.125,1.0,1.0
1221,64.0,1.09375,,
1222,26.0,1.0,2.0,1.0
1223,33.0,1.0303030303,,
1224,29.0,1.20689655172,2.0,2.0
1225,52.0,1.15384615385,1.0,1.0
1231,72.0,1.29166666667,2.0,1.0
1232,64.0,1.3125,1.0,1.0
1233,44.0,1.11363636364,,
1234,39.0,1.12820512821,3.0,1.0
1235,45.0,1.35555555556,,
1411,37.0,1.10810810811,,
1412,39.0,1.07692307692,2.0,1.0
1413,26.0,1.0,,
1414,23.0,1.0,,
1421,21.0,1.0,,
1422,31.0,1.0,,
1423,32.0,1.0625,,
1424,34.0,1.05882352941,1.0,1.0
1431,32.0,1.03125,1.0,1.0
1432,33.0,1.06060606061,,
1433,33.0,1.33333333333,,
1434,39.0,1.07692307692,1.0,1.0
1511,26.0,1.0,,
1512,12.0,1.0,2.0,1.0
1513,37.0,1.02702702703,,
1522,46.0,1.0,,
1523,11.0,1.0,,
1524,23.0,1.0,,
1531,24.0,1.0,,
1532,11.0,1.0,1.0,1.0
1533,46.0,1.08695652174,1.0,1.0
1611,28.0,1.0,,
1612,41.0,1.0,1.0,1.0
1613,41.0,1.0,,
1614,34.0,1.0,1.0,1.0
1621,72.0,1.0,,
1622,97.0,1.24742268041,,
1623,81.0,1.32098765432,1.0,1.0
1624,67.0,1.0447761194,,
1631,55.0,1.0,,
1632,70.0,1.0,,
1633,81.0,1.0,,
1634,31.0,1.0,,
1654,,,1.0,1.0
1711,63.0,1.04761904762,,
1712,78.0,1.16666666667,,
1713,27.0,1.2962962963,3.0,1.0
1722,46.0,1.30434782609,1.0,1.0
1723,41.0,1.0,,
1724,30.0,1.0,,
1731,62.0,1.11290322581,,
1732,52.0,1.01923076923,2.0,1.0
1733,42.0,1.0,,
1811,19.0,1.15789473684,,
1812,28.0,1.14285714286,2.0,2.5
1813,22.0,1.22727272727,,
1814,41.0,1.9756097561,,
1821,31.0,1.32258064516,1.0,2.0
1822,33.0,1.21212121212,1.0,1.0
1823,16.0,1.0,1.0,2.0
1824,41.0,1.12195121951,1.0,1.0
1831,37.0,1.35135135135,1.0,2.0
1832,30.0,1.06666666667,,
1833,26.0,2.57692307692,1.0,1.0
1834,53.0,3.67924528302,1.0,1.0
1911,53.0,1.16981132075,2.0,1.0
1912,41.0,1.12195121951,3.0,1.0
1913,17.0,1.17647058824,1.0,1.0
1914,42.0,1.38095238095,,
1915,47.0,1.55319148936,,
1921,47.0,1.12765957447,,
1922,41.0,1.17073170732,2.0,1.0
1923,29.0,1.06896551724,2.0,1.0
1924,23.0,1.0,1.0,1.0
1925,59.0,2.01694915254,,
1931,40.0,1.075,,
1932,19.0,1.15789473684,,
1933,18.0,1.0,3.0,2.33333333333
1934,45.0,2.13333333333,,
1935,35.0,1.74285714286,,
2011,66.0,1.06060606061,,
2012,46.0,1.10869565217,,
2013,27.0,1.0,,
2022,11.0,1.90909090909,,
2023,21.0,2.2380952381,2.0,1.0
2024,28.0,2.0,,
2031,29.0,1.31034482759,,
2032,25.0,1.12,,
2033,16.0,1.0,2.0,1.0
2211,98.0,1.05102040816,,
2212,48.0,1.0625,,
2213,53.0,1.1320754717,,
2221,36.0,1.22222222222,,
2222,12.0,1.83333333333,,
2223,49.0,1.95918367347,,
2232,36.0,1.27777777778,,
2233,34.0,1.61764705882,,
2234,48.0,1.125,,
2411,71.0,1.05633802817,,
2412,34.0,1.0,,
2413,45.0,1.0,,
2422,19.0,1.21052631579,1.0,4.0
2423,20.0,1.0,1.0,1.0
2424,21.0,1.7619047619,,
2431,22.0,1.22727272727,1.0,1.0
2432,24.0,1.91666666667,1.0,1.0
2433,34.0,1.88235294118,2.0,1.0
2511,49.0,1.0,,
2512,76.0,1.21052631579,,
2513,31.0,1.29032258065,,
2514,41.0,1.0,,
2515,57.0,1.0701754386,,
2521,45.0,1.0,,
2522,31.0,1.0,,
2523,34.0,1.0,,
2524,27.0,1.0,,
2525,21.0,1.0,,
2531,26.0,1.0,,
2532,26.0,1.0,,
2533,69.0,1.0,,
2534,29.0,1.0,,
2535,32.0,1.0,,
3100,93.0,1.03225806452,,
